**harm,**harte,**timestamp,**phrase,**leadinstrument,**kern,**silbe,**kern_2,**silbe_2,**rhyme,**valence,**arousal,**rms,**kern_3,**silbe_3,**kern_4,**silbe_4,**kern_5,**silbe_5
1I7,D:maj7,61.134,.,voice,8A,Talk-,,,.,71 108 91 60,97 97 93 63,76.264,,,,,,
1ii,E:min,63.099,newline,voice,4e,la-,,,.,75 108 105 60,97 97 93 63,76.234,,,,,,
1V,"A:sus4(b7,9)",65.061,.,voice,4r,.,,,.,74 108 95 60,97 97 93 63,76.253,,,,,,
1vi,B:min,67.023,.,voice,16d,mine,,,.,69 108 95 60,97 97 93 63,74.654,,,,,,
1vi,B:min,68.985,.,voice,2r,.,,,.,69 108 95 60,97 97 93 63,73.932,,,,,,
*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,,,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,,,,,,
*>Label>Bridge,*>Label>Bridge,*>Label>Bridge,*>Label>Bridge,*>Label>Bridge,*>Label>Bridge,*>Label>Bridge,,,*>Label>Bridge,*>Label>Bridge,*>Label>Bridge,*>Label>Bridge,,,,,,
2I,B-:maj,70.947,newline,voice,8d,ne-,,,.,70 108 95 60,98 97 93 63,74.011,,,,,,
2Vb,F:maj/3,71.92,.,voice,8c,ve-,,,.,70 107 95 60,98 89 93 63,67.084,,,,,,
2IV,E-:maj,72.893,.,voice,8e-,and,,,.,70 101 95 60,98 83 93 63,75.035,,,,,,
2I,B-:maj,73.866,.,voice,8B-,_,,,.,70 96 95 60,98 83 93 63,73.08,,,,,,
2I,B-:maj,74.839,.,voice,8d,Al-,,,.,68 94 95 60,98 100 93 63,69.837,,,,,,
2Vb,F:maj/3,75.813,.,voice,8c,with,,,.,67 94 95 60,98 100 93 63,74.37,,,,,,
2IV,E-:maj,76.786,.,voice,8e-,ne-,,,.,66 94 91 60,98 88 93 63,73.794,,,,,,
2I,B-:maj,77.759,.,voice,8B-,_,,,.,66 94 91 60,102 88 93 63,75.398,,,,,,
2I,B-:maj,78.732,newline,voice,8d,What,,,.,75 94 109 60,102 88 93 63,73.346,,,,,,
2Vb,F:maj/3,79.706,.,voice,8c,hard,,,.,78 93 120 60,102 103 93 63,75.697,,,,,,
2IV,E-:maj,80.68,.,voice,8e-,I,,,.,79 92 120 60,103 103 85 63,74.383,,,,,,
