**harm,**harte,**harm_2,**harte_2,**kern,**silbe,**stress,**timestamp,**duration
I,A:maj,I,A:maj,e,gen-,1,46.424,1
I,A:maj,I,A:maj,e,-ate,0,49.121,1
V,E:maj,V,E:maj,e,blitz-,1,.,1
I,A:maj,I,A:maj,c#,bop,1,51.848,1
*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,1
IV,D:maj,IV,D:maj,d,hey,1,54.519,1
I,A:maj,I,A:maj,e,shoot,1,57.247,1
IV,D:maj,IV,D:maj,d,what,0,59.934,1
ii,B:min,II,B:maj,B,all,0,62.635,1
IV,D:maj,IV,D:maj,d,rea-,1,63.984,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
I,A:maj,I,A:maj,e,form-,1,65.371,1
I,A:maj,I,A:maj,e,goi-,1,68.064,1
I,A:maj,I,A:maj,e,kids,1,70.735,1
V,E:maj,V,E:maj,e,blitz-,1,.,1
I,A:maj,I,A:maj,c#,bop,1,73.411,1
I,A:maj,I,A:maj,e,gen-,1,78.873,1
I,A:maj,I,A:maj,e,-ate,0,81.610,1
V,E:maj,V,E:maj,e,blitz-,1,.,1
I,A:maj,I,A:maj,c#,bop,1,84.287,1
*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,1
IV,D:maj,IV,D:maj,d,hey,1,87.017,1
I,A:maj,I,A:maj,e,shoot,1,89.729,1
IV,D:maj,IV,D:maj,d,what,0,92.451,1
ii,B:min,II,B:maj,B,all,0,95.163,1
IV,D:maj,IV,D:maj,d,rea-,1,96.507,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
I,A:maj,I,A:maj,e,form-,1,97.878,1
I,A:maj,I,A:maj,e,goi-,1,100.622,1
I,A:maj,I,A:maj,e,kids,1,103.356,1
V,E:maj,V,E:maj,e,blitz-,1,.,1
I,A:maj,I,A:maj,c#,bop,1,106.071,1
I,A:maj,I,A:maj,e,gen-,1,111.488,1
I,A:maj,I,A:maj,e,-ate,0,114.221,1
V,E:maj,V,E:maj,e,blitz-,1,.,1
I,A:maj,I,A:maj,c#,bop,1,116.932,1
*>St,*>St,*>St,*>St,*>St,*>St,*>St,*>St,1
I,A:maj,.,.,e,hey,1,125.018,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
iii,C#:min,iii,C#:min,g#,,,53.006,1
V,E:maj,V,E:maj,B,,,63.602,1
iii,C#:min,iii,C#:min,e,,,74.133,1
V,E:maj,V,E:maj,B,,,80.465,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
iii,C#:min,iii,C#:min,g#,,,152.921,1
iii,C#:min,iii,C#:min,e,,,157.097,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
vb,D:min/b3,vb,D:min/b3,e,,,50.364,1
i,G:min,i,G:min,d,,,56.234,1
vb,D:min/b3,vb,D:min/b3,e,,,59.168,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
viom7,E:hdim7,viom7,E:hdim7,G,,,76.759,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
i,G:min,i,G:min,G,,,97.291,1
vb,D:min/b3,vb,D:min/b3,e,,,100.222,1
i,G:min,i,G:min,d,,,106.092,1
vb,D:min/b3,vb,D:min/b3,e,,,109.024,1
*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,,,*>Bridge,1
vi,A:min,i,A:min,G,,,140.176,1
vi,A:min,i,A:min,a-,,,146.041,1
vi,A:min,i,A:min,ff,,,162.513,1
-VI,A-:maj,V7b,E:7/3,ee-,,,.,1
vi,A:min,i,A:min,cc,,,165.480,1
ii,D:min,i,A:min,dd,,,168.396,1
vi,A:min,i,A:min,ee-,,,171.305,1
I,C:maj,I,C:maj,ccc,,,179.353,1
i,C:min,v,C:min,ee-,,,244.490,1
Vb,G:maj/3,Vb/v,G:maj/3,dd,,,.,1
V/ii,A:maj,V/vi,A:maj,cc#,,,.,1
ii,D:min,vi,D:min,ff,,,252.138,1
V/ii,A:maj,V/vi,A:maj,ee-,,,.,1
IVb,F:maj/3,Ib,F:maj/3,ff,,,.,1
IV,F:maj,I,F:maj,ff,,,.,1
