**harm,**harte,**timestamp,**phrase,**leadinstrument,**kern,**silbe,**kern_2,**silbe_2,**duration,**rhyme,**valence,**arousal,**rms,**kern_3,**silbe_3,**kern_4,**silbe_4,**kern_5,**silbe_5,**harm_2,**harte_2,**stress
1I,G:maj,69.463,newline,voice,dd,can't,,,4.0,.,86 99 85 63,72 97 60 37,74.042,,,,,,,,,
1I,G:maj,70.862,.,voice,g,tig-,,,8.0,.,86 99 85 63,72 97 60 37,73.033,,,,,,,,,
1V7,D:7,72.262,.,voice,d,you,,,8.0,.,86 98 85 63,73 97 60 37,74.925,,,,,,,,,
1I,N,73.661,.,voice,f#,_,,,8.0,.,86 99 85 63,73 97 60 37,82.378,,,,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,1.0,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,1.0,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,,,,,,,
1IV,C:maj,75.061,newline,voice,g,_,,,8.0,.,86 99 85 63,44 89 60 0,76.348,,,,,,,,,
1I,G:maj,76.376,.,voice,g,put,,,8.0,.,86 99 85 63,42 84 60 0,72.017,,,,,,,,,
1II7,A:7,77.69,.,voice,a,knuck-,,,8.0,(B,86 99 85 63,67 87 60 38,68.705,,,,,,,,,
1V7,D:7,79.005,.,voice,c#,do,,,16.0,.,86 99 85 63,81 98 60 43,76.749,,,,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,1.0,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,1.0,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,,,,,,,
1I,G:maj,80.32,newline,voice,b,can't,,,4.0,.,86 99 85 63,85 98 60 42,76.92,,,,,,,,,
1I,G:maj,81.666,.,voice,d,buff-,,,8.0,.,86 99 85 63,43 96 60 51,75.794,,,,,,,,,
1V7,D:7,83.013,.,voice,d,can't,,,4.0,.,86 99 85 63,77 96 60 34,72.973,,,,,,,,,
1V7,D:7,84.359,.,voice,a,buff-,,,8.0,.,86 102 85 63,78 96 60 34,77.098,,,,,,,,,
1I,G:maj,85.705,newline,voice,b,can't,,,4.0,.,86 102 85 63,67 96 60 34,74.95,,,,,,,,,
1I,G:maj,87.071,.,voice,d,buff-,,,8.0,.,86 102 85 63,76 96 60 34,74.839,,,,,,,,,
1V7,D:7,88.437,.,voice,d,you,,,8.0,.,86 102 85 63,78 96 60 34,74.718,,,,,,,,,
