**harm,**harte,**timestamp,**phrase,**leadinstrument,**kern,**silbe,**kern_2,**silbe_2,**duration,**rhyme,**valence,**arousal,**rms,**kern_3,**silbe_3,**kern_4,**silbe_4,**kern_5,**silbe_5,**harm_2,**harte_2,**stress
4V,A:sus4(b7),99.831,.,voice,F#,love,.,.,4.0,.,,,,,,,,,,,,
4V7,A:7,100.356,.,voice,E,"you,",.,.,4.0,C,,,,,,,,,,,,
2I,D:maj,100.881,.,voice,A,all,1r,.,8.0,.,,,,,,,,,,,,
2vi,B:min,101.931,.,voice,d,be,.,.,8.0,D,,,,,,,,,,,,
2.-VII,C:maj,102.981,.,voice,r,.,1r,.,4.0,.,,,,,,,,,,,,
4IV,G:maj,104.555,.,voice,d,"py,",.,.,4.0,d,,,,,,,,,,,,
2iii7,F#:min7,105.08,newline,voice,A,all,1r,.,8.0,.,,,,,,,,,,,,
2vi,B:min,106.131,.,voice,d,take,.,.,8.0,E,,,,,,,,,,,,
2iii,F#:min,107.181,.,voice,r,.,1r,.,8.0,.,,,,,,,,,,,,
2V7,A:7,108.231,.,voice,F#,_,.,.,16.0,.,,,,,,,,,,,,
2-III,F:maj,109.282,.,voice,f,"-way,",1r,.,4.0,.,,,,,,,,,,,,
2-VII,C:maj,110.332,.,voice,e,-way,.,.,16.0,.,,,,,,,,,,,,
2V,A:sus4(b7),111.383,.,voice,d,-way,1r,.,8.0,.,,,,,,,,,,,,
2V,A:maj,112.433,.,voice,r,.,.,.,4.0,.,,,,,,,,,,,,
2I,D:maj,113.483,newline,voice,A,All,8d,All,8.0,.,,,,,,,,,,,,
2vi,B:min,114.509,.,voice,d,do,8f#,do,8.0,C,,,,,,,,,,,,
2iii,F#:min,115.534,.,voice,r,.,1r,.,4.0,.,,,,,,,,,,,,
4V,A:sus4(b7),116.559,.,voice,F#,love,.,.,4.0,.,,,,,,,,,,,,
4V7,A:7,117.072,.,voice,E,"you,",.,.,4.0,C,,,,,,,,,,,,
2I,D:maj,117.584,.,voice,A,all,8d,all,8.0,.,,,,,,,,,,,,
2vi,B:min,118.609,.,voice,d,be,8f#,be,8.0,D,,,,,,,,,,,,
2.-VII,C:maj,119.635,.,voice,r,.,1r,.,4.0,.,,,,,,,,,,,,
4IV,G:maj,121.172,.,voice,d,"py,",.,.,4.0,d,,,,,,,,,,,,
2iii7,F#:min7,121.685,newline,voice,A,all,8c#,all,8.0,.,,,,,,,,,,,,
2vi,B:min,122.732,.,voice,d,take,8f#,take,8.0,E,,,,,,,,,,,,
2iii,F#:min,123.779,.,voice,r,.,1r,.,8.0,.,,,,,,,,,,,,
2V7,A:7,124.826,.,voice,F#,_,.,.,16.0,.,,,,,,,,,,,,
2-III,F:maj,125.874,.,voice,f,"-way,",4a,"way,",4.0,.,,,,,,,,,,,,
2-VII,C:maj,126.921,.,voice,e,-way,16g,-way,16.0,.,,,,,,,,,,,,
2IV,G:maj,127.968,.,voice,d,-way,4g,-way,4.0,.,,,,,,,,,,,,
2-VII,C:maj,129.015,.,voice,r,.,2r,.,2.0,.,,,,,,,,,,,,
*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,1.0,*>Letter>D,,,,,,,,,,,,
*>Label>Interlude,*>Label>Interlude,*>Label>Interlude,*>Label>Interlude,*>Label>Interlude,*>Label>Interlude,*>Label>Interlude,*>Label>Interlude,*>Label>Interlude,1.0,*>Label>Interlude,,,,,,,,,,,,
2-III,F:maj,130.062,newline,guitar,r,.,1r,.,1.0,.,,,,,,,,,,,,
1V,A:sus4(b7),132.205,.,guitar,r,.,1r,.,1.0,.,,,,,,,,,,,,
1V,A:sus4(b7),134.347,.,guitar,r,.,1r,.,1.0,.,,,,,,,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,1.0,*>Letter>B,,,,,,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,1.0,*>Label>Verse,,,,,,,,,,,,
1I,D:maj,136.49,newline,voice,d,Wind,8f#,Wind,8.0,.,,,,,,,,,,,,
1vi7,B:min7,138.572,.,voice,d,_,8f#],_,8.0,.,,,,,,,,,,,,
1iii7,F#:min7,140.655,.,voice,r,.,8r,.,8.0,.,,,,,,,,,,,,
2V,A:sus4(b7),142.737,.,voice,d,pres,[4g,pres,4.0,.,,,,,,,,,,,,
1I,D:maj,144.819,newline,voice,r,.,8r,.,8.0,.,,,,,,,,,,,,
1vi7,B:min7,146.916,.,voice,d,_,8f#],_,8.0,.,,,,,,,,,,,,
1iii7,F#:min7,149.012,.,voice,r,.,8r,.,8.0,.,,,,,,,,,,,,
2V,A:sus4(b7),151.108,.,voice,d,knew,[4g,knew,4.0,.,,,,,,,,,,,,
1V,A:sus4(b7),153.205,.,voice,r,.,1r,.,1.0,.,,,,,,,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,1.0,*>Letter>C,,,,,,,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,1.0,*>Label>Chorus,,,,,,,,,,,,
2I,D:maj,155.301,newline,voice,A,All,8d,All,8.0,.,,,,,,,,,,,,
2vi,B:min,156.35,.,voice,d,do,8f#,do,8.0,C,,,,,,,,,,,,
2iii,F#:min,157.4,.,voice,r,.,1r,.,4.0,.,,,,,,,,,,,,
4V,A:sus4(b7),158.45,.,voice,F#,love,.,.,4.0,.,,,,,,,,,,,,
4V7,A:7,158.974,.,voice,E,"you,",.,.,4.0,C,,,,,,,,,,,,
2I,D:maj,159.499,.,voice,A,all,8d,all,8.0,.,,,,,,,,,,,,
2vi,B:min,160.549,.,voice,d,be,8f#,be,8.0,D,,,,,,,,,,,,
2.-VII,C:maj,161.598,.,voice,r,.,1r,.,4.0,.,,,,,,,,,,,,
4IV,G:maj,163.173,.,voice,d,"py,",.,.,4.0,d,,,,,,,,,,,,
2iii7,F#:min7,163.698,newline,voice,A,all,8c#,all,8.0,.,,,,,,,,,,,,
2vi,B:min,164.738,.,voice,d,take,8f#,take,8.0,E,,,,,,,,,,,,
2iii,F#:min,165.779,.,voice,r,.,1r,.,8.0,.,,,,,,,,,,,,
2V7,A:7,166.82,.,voice,F#,_,.,.,16.0,.,,,,,,,,,,,,
2-III,F:maj,167.861,.,voice,f,"-way,",4a,"way,",4.0,.,,,,,,,,,,,,
2-VII,C:maj,168.901,.,voice,e,-way,16g,-way,16.0,.,,,,,,,,,,,,
2V,A:sus4(b7),169.942,.,voice,d,-way,4g,-way,4.0,.,,,,,,,,,,,,
2V,A:maj,170.983,.,voice,r,.,8f,(Vocalizing),2.0,.,,,,,,,,,,,,
2I,D:maj,172.024,newline,voice,A,All,8d,All,8.0,.,,,,,,,,,,,,
2vi,B:min,173.058,.,voice,d,do,8f#,do,8.0,C,,,,,,,,,,,,
2iii,F#:min,174.092,.,voice,r,.,1r,.,4.0,.,,,,,,,,,,,,
4V,A:sus4(b7),175.126,.,voice,F#,love,.,.,4.0,.,,,,,,,,,,,,
4V7,A:7,175.643,.,voice,E,"you,",.,.,4.0,C,,,,,,,,,,,,
2I,D:maj,176.16,.,voice,A,all,8d,all,8.0,.,,,,,,,,,,,,
2vi,B:min,177.194,.,voice,d,be,8f#,be,8.0,D,,,,,,,,,,,,
2.-VII,C:maj,178.227,.,voice,r,.,1r,.,4.0,.,,,,,,,,,,,,
4IV,G:maj,179.778,.,voice,d,"py,",.,.,4.0,d,,,,,,,,,,,,
2iii7,F#:min7,180.295,newline,voice,A,all,8c#,all,8.0,.,,,,,,,,,,,,
2vi,B:min,181.339,.,voice,d,take,8f#,take,8.0,E,,,,,,,,,,,,
2iii,F#:min,182.382,.,voice,r,.,1r,.,8.0,.,,,,,,,,,,,,
2V7,A:7,183.426,.,voice,F#,_,.,.,16.0,.,,,,,,,,,,,,
2-III,F:maj,184.469,.,voice,f,"-way,",4a,"way,",4.0,.,,,,,,,,,,,,
2-VII,C:maj,185.513,.,voice,e,-way,16g,-way,16.0,.,,,,,,,,,,,,
2IV,G:maj,186.556,.,voice,d,-way,4g,-way,4.0,.,,,,,,,,,,,,
2-VII,C:maj,187.6,.,voice,r,.,2r,.,2.0,.,,,,,,,,,,,,
*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,1.0,*>Letter>D,,,,,,,,,,,,
*>Label>Interlude,*>Label>Interlude,*>Label>Interlude,*>Label>Interlude,*>Label>Interlude,*>Label>Interlude,*>Label>Interlude,*>Label>Interlude,*>Label>Interlude,1.0,*>Label>Interlude,,,,,,,,,,,,
2-III,F:maj,188.643,newline,guitar,r,.,1r,.,1.0,.,,,,,,,,,,,,
1V,A:sus4(b7),190.748,.,guitar,r,.,1r,.,1.0,.,,,,,,,,,,,,
1V,A:sus4(b7),192.852,.,guitar,r,.,1r,.,1.0,.,,,,,,,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,1.0,*>Letter>C,,,,,,,,,,,,
*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,1.0,*>Label>Solo,,,,,,,,,,,,
2I,D:maj,194.956,newline,guitar,r,.,1r,.,1.0,.,,,,,,,,,,,,
2iii,F#:min,197.051,.,guitar,r,.,1r,.,1.0,.,,,,,,,,,,,,
2I,D:maj,199.146,.,guitar,r,.,1r,.,1.0,.,,,,,,,,,,,,
2.-VII,C:maj,201.241,.,guitar,r,.,1r,.,1.0,.,,,,,,,,,,,,
*>Letter>C2,*>Letter>C2,*>Letter>C2,*>Letter>C2,*>Letter>C2,*>Letter>C2,*>Letter>C2,*>Letter>C2,*>Letter>C2,1.0,*>Letter>C2,,,,,,,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,1.0,*>Label>Chorus,,,,,,,,,,,,
2iii7,F#:min7,203.336,newline,voice,A,all,8c#,all,8.0,.,,,,,,,,,,,,
2vi,B:min,204.372,.,voice,d,take,8f#,take,8.0,E,,,,,,,,,,,,
2iii,F#:min,205.409,.,voice,r,.,1r,.,8.0,.,,,,,,,,,,,,
2V7,A:7,206.445,.,voice,F#,_,.,.,16.0,.,,,,,,,,,,,,
2-III,F:maj,207.481,.,voice,f,"-way,",4a,"way,",4.0,.,,,,,,,,,,,,
2-VII,C:maj,208.518,.,voice,e,-way,16g,-way,16.0,.,,,,,,,,,,,,
2V,A:sus4(b7),209.554,.,voice,d,-way,4g,-way,4.0,.,,,,,,,,,,,,
2V,A:maj,210.59,.,voice,r,.,4e],_,8.0,.,,,,,,,,,,,,
2I,D:maj,211.627,newline,voice,A,All,8d,All,8.0,.,,,,,,,,,,,,
2vi,B:min,212.654,.,voice,d,do,8f#,do,8.0,C,,,,,,,,,,,,
2iii,F#:min,213.681,.,voice,r,.,1r,.,4.0,.,,,,,,,,,,,,
4V,A:sus4(b7),214.709,.,voice,F#,love,.,.,4.0,.,,,,,,,,,,,,
4V7,A:7,215.222,.,voice,E,"you,",.,.,4.0,C,,,,,,,,,,,,
2I,D:maj,215.736,.,voice,A,all,8d,all,8.0,.,,,,,,,,,,,,
2vi,B:min,216.763,.,voice,d,be,8f#,be,8.0,D,,,,,,,,,,,,
2.-VII,C:maj,217.791,.,voice,r,.,1r,.,4.0,.,,,,,,,,,,,,
4IV,G:maj,219.332,.,voice,d,"py,",.,.,4.0,d,,,,,,,,,,,,
2iii7,F#:min7,219.845,newline,voice,A,all,8c#,all,8.0,.,,,,,,,,,,,,
2vi,B:min,220.897,.,voice,d,take,8f#,take,8.0,E,,,,,,,,,,,,
2iii,F#:min,221.948,.,voice,r,.,1r,.,8.0,.,,,,,,,,,,,,
2V7,A:7,222.999,.,voice,F#,_,.,.,16.0,.,,,,,,,,,,,,
2-III,F:maj,224.05,.,voice,f,"-way,",4a,"way,",4.0,.,,,,,,,,,,,,
2-VII,C:maj,225.101,.,voice,e,-way,16g,-way,16.0,.,,,,,,,,,,,,
2IV,G:maj,226.152,.,voice,d,-way,4g,-way,4.0,.,,,,,,,,,,,,
2-VII,C:maj,227.203,.,voice,r,.,2r,.,4.0,.,,,,,,,,,,,,
*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,1.0,*>Letter>D,,,,,,,,,,,,
*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,1.0,*>Label>Outro,,,,,,,,,,,,
2-III,F:maj,228.254,newline,guitar,f,_,1r,.,4.0,.,,,,,,,,,,,,
1V,A:sus4(b7),230.355,.,guitar,r,.,1r,.,1.0,.,,,,,,,,,,,,
1V,A:sus4(b7),232.456,.,guitar,r,.,1r,.,1.0,.,,,,,,,,,,,,
1r;,N,237.708,.,r,r,.,r;,.,1.0,.,,,,,,,,,,,,
1r;,N,240.718,.,r,r,.,r;,.,1.0,.,,,,,,,,,,,,
1r;,N,0,.,r,r,.,,,1.0,.,,,,,,,,,,,,
*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,,,1.0,*>Letter>A,,,,,,,,,,,,
*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,,,1.0,*>Label>Intro,,,,,,,,,,,,
1ib,E:min/b3,0.279,newline,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1ib,E:min/b3,23.018,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1ib,E:min/b3,23.28,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1ib,E:min/b3,25.371,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1ib,E:min/b3,27.462,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1ib,E:min/b3,29.553,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1ivb,A:min/b3,31.644,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1ic,E:min/5,33.735,.,guitar,r,.,,,2.0,.,,,,,,,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,1.0,*>Letter>B,,,,,,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,1.0,*>Label>Verse,,,,,,,,,,,,
1ic,E:min/5,40.008,.,r,E,ra-,,,4.0,.,,,,,,,,,,,,
1ic,E:min/5,42.098,.,r,G,spar-,,,4.0,.,,,,,,,,,,,,
1-III,G:maj,44.188,newline,r,B,snail.,,,1.0,A,,,,,,,,,,,,
1-III,G:maj,45.868,.,r,r,.,,,2.0,.,,,,,,,,,,,,
1-III,G:maj,47.549,newline,r,B,would,,,2.0,B,,,,,,,,,,,,
1-III,G:maj,49.167,.,r,r,.,,,2.0,.,,,,,,,,,,,,
1-III,G:maj,52.405,.,r,r,.,,,4.0,.,,,,,,,,,,,,
1i,E:min,54.024,newline,r,A,_,,,8.0,.,,,,,,,,,,,,
1i,E:min,55.66,.,r,r,.,,,2.0,.,,,,,,,,,,,,
1i,E:min,57.296,.,r,A,_,,,8.0,.,,,,,,,,,,,,
1i,E:min,58.932,.,r,r,.,,,2.0,.,,,,,,,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,1.0,*>Letter>B,,,,,,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,1.0,*>Label>Verse,,,,,,,,,,,,
1i,E:min,60.568,newline,r,E,ra-,,,4.0,.,,,,,,,,,,,,
1i,E:min,62.187,.,r,G,_,,,4.0,.,,,,,,,,,,,,
1-III,G:maj,63.806,newline,r,B_,_,,,4.0,.,,,,,,,,,,,,
1-III,G:maj,65.367,.,r,r,.,,,2.0,.,,,,,,,,,,,,
1-III,G:maj,68.555,.,r,r,.,,,4.0,.,,,,,,,,,,,,
1-III,G:maj,70.182,.,r,e,_,,,8.0,.,,,,,,,,,,,,
1-III,G:maj,71.809,.,r,B,_,,,4.0,.,,,,,,,,,,,,
1i,E:min,73.436,newline,r,A,_,,,8.0,.,,,,,,,,,,,,
1i,E:min,75.07,.,r,r,.,,,2.0,.,,,,,,,,,,,,
1i,E:min,76.703,.,r,A,_,,,8.0,.,,,,,,,,,,,,
1i,E:min,78.337,.,r,r,.,,,2.0,.,,,,,,,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,1.0,*>Letter>C,,,,,,,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,1.0,*>Label>Chorus,,,,,,,,,,,,
1-VI,C:maj6,84.817,.,r,e,_,,,4.0,.,,,,,,,,,,,,
1-III,G:maj,86.433,newline,r,d,swan,,,12.0,C,,,,,,,,,,,,
1-III,G:maj,88.05,.,r,d,_,,,4.0,.,,,,,,,,,,,,
1-III,G:maj,89.668,.,r,B,gone,,,1.0,C,,,,,,,,,,,,
1-III,G:maj,91.286,.,r,B,_,,,2.0,.,,,,,,,,,,,,
1-VI,C:maj6,94.483,.,r,e,tied,,,4.0,.,,,,,,,,,,,,
1-VI,C:maj6,96.061,.,r,e,"ground,",,,1.0,D,,,,,,,,,,,,
1-VI,C:maj6,97.64,.,r,r,.,,,4.0,.,,,,,,,,,,,,
1-III,G:maj,99.219,newline,r,d,world,,,1.0,.,,,,,,,,,,,,
1-III,G:maj,100.881,.,r,d,_,,,4.0,.,,,,,,,,,,,,
1-III,G:maj,102.543,.,r,B,"sound,",,,1.0,D,,,,,,,,,,,,
1-III,G:maj,104.205,.,r,r,.,,,4.0,.,,,,,,,,,,,,
1i,E:min,105.867,newline,r,A,sound,,,8.0,D,,,,,,,,,,,,
1i,E:min,107.508,.,r,r,.,,,2.0,.,,,,,,,,,,,,
1i,E:min,109.149,.,r,B,_,,,1.0,.,,,,,,,,,,,,
1i,E:min,110.79,.,r,r,.,,,1.0,.,,,,,,,,,,,,
1i,E:min,112.431,newline,r,r,.,,,1.0,.,,,,,,,,,,,,
1i,E:min,114.052,.,r,r,.,,,2.0,.,,,,,,,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,1.0,*>Letter>B,,,,,,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,1.0,*>Label>Verse,,,,,,,,,,,,
1i,E:min,115.673,newline,r,E,ra-,,,4.0,.,,,,,,,,,,,,
1i,E:min,117.289,.,r,G,_,,,4.0,.,,,,,,,,,,,,
1-III,G:maj,118.905,newline,r,B,street.,,,4.0,E,,,,,,,,,,,,
1-III,G:maj,120.552,.,r,r,.,,,2.0,.,,,,,,,,,,,,
1-III,G:maj,122.2,newline,r,B,would,,,2.0,B,,,,,,,,,,,,
1-III,G:maj,123.842,.,r,r,.,,,2.0,.,,,,,,,,,,,,
1-III,G:maj,125.484,.,r,e,_,,,8.0,.,,,,,,,,,,,,
1-III,G:maj,127.126,.,r,B,_,,,4.0,.,,,,,,,,,,,,
1i,E:min,128.769,newline,r,A,_,,,8.0,.,,,,,,,,,,,,
1i,E:min,130.373,.,r,r,.,,,2.0,.,,,,,,,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,1.0,*>Letter>B,,,,,,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,1.0,*>Label>Verse,,,,,,,,,,,,
1i,E:min,131.977,newline,r,E,ra-,,,4.0,.,,,,,,,,,,,,
1i,E:min,133.564,.,r,G,_,,,4.0,.,,,,,,,,,,,,
1-III,G:maj,135.15,newline,r,B,feet.,,,4.0,E,,,,,,,,,,,,
1-III,G:maj,136.805,.,r,r,.,,,2.0,.,,,,,,,,,,,,
1-III,G:maj,140.113,.,r,r,.,,,6.0,.,,,,,,,,,,,,
1-III,G:maj,141.766,.,r,e,_,,,8.0,.,,,,,,,,,,,,
1-III,G:maj,143.42,.,r,B,_,,,4.0,.,,,,,,,,,,,,
1i,E:min,145.073,newline,voice,A,_,,,8.0,.,,,,,,,,,,,,
1i,E:min,146.69,.,voice,r,.,,,1.0,.,,,,,,,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,1.0,*>Letter>C,,,,,,,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,1.0,*>Label>Chorus,,,,,,,,,,,,
1-VI,C:maj6,148.307,newline,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-VI,C:maj6,149.931,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-VI,C:maj6,151.555,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-VI,C:maj6,153.178,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-III,G:maj,154.802,newline,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-III,G:maj,156.443,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-III,G:maj,158.083,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-III,G:maj,159.724,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-VI,C:maj6,161.365,newline,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-VI,C:maj6,162.958,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-VI,C:maj6,164.55,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-VI,C:maj6,166.143,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-III,G:maj,167.736,newline,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-III,G:maj,169.382,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-III,G:maj,171.029,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1-III,G:maj,172.675,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1i,E:min,174.322,newline,flute,r,.,,,1.0,.,,,,,,,,,,,,
1i,E:min,175.999,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1i,E:min,177.676,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1i,E:min,179.354,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1i,E:min,181.031,newline,flute,r,.,,,1.0,.,,,,,,,,,,,,
1i,E:min,182.729,.,flute,r,.,,,1.0,.,,,,,,,,,,,,
1r;,N,185.063,.,r,r,.,,,1.0,.,,,,,,,,,,,,
1r;,N,188.526,.,r,r,.,,,1.0,.,,,,,,,,,,,,
1r;,N,0,.,r,r,.,,,1.0,.,71 61 60 105,77 90 26 98,-100.0,,,,,,,,,
*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,,,1.0,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,,,,,,,,,
*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,,,1.0,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,,,,,,,,,
1i7,D:min7,0.232,newline,r,r,.,,,1.0,.,71 96 77 105,127 90 17 91,-100.0,,,,,,,,,
1i7,D:min7,2.413,.,r,r,.,,,2.0,.,67 61 60 65,64 60 67 58,66.101,,,,,,,,,
1i7,D:min7,4.594,.,r,r,.,,,1.0,.,67 103 83 84,93 79 67 58,65.527,,,,,,,,,
1i7,D:min7,6.776,.,r,r,.,,,2.0,.,67 104 83 94,91 84 67 58,61.688,,,,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,1.0,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,1.0,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,,,,,,,
1i7,D:min7,8.957,newline,voice,a-,care,,,8.0,.,67 104 86 100,91 85 67 58,71.187,,,,,,,,,
1i7,D:min7,11.113,.,voice,r,.,,,8.0,.,67 104 88 91,93 85 67 58,64.108,,,,,,,,,
1i7,D:min7,13.269,.,voice,f,past,,,16.0,A,81 104 91 93,93 89 67 76,73.843,,,,,,,,,
1i7,D:min7,15.426,.,voice,r,.,,,2.0,.,95 104 93 95,93 88 67 76,67.982,,,,,,,,,
1i7,D:min7,17.582,newline,voice,cc,want,,,8.0,.,95 104 95 57,93 86 67 76,70.92,,,,,,,,,
1i7,D:min7,19.728,.,voice,r,.,,,8.0,.,95 104 95 51,93 86 67 76,67.647,,,,,,,,,
1i7,D:min7,21.875,.,voice,B,last,,,8.0,A,95 104 95 47,93 86 67 76,74.16,,,,,,,,,
1i7,D:min7,24.022,.,voice,r,.,,,2.0,.,95 104 95 63,93 86 67 78,65.873,,,,,,,,,
1i7,D:min7,26.168,newline,voice,a-,care,,,4.0,.,95 104 95 78,93 86 67 84,76.033,,,,,,,,,
1i7,D:min7,28.313,.,voice,r,.,,,2.0,.,95 104 95 83,93 86 67 84,66.616,,,,,,,,,
1i7,D:min7,30.459,.,voice,r,.,,,8.0,.,95 104 95 83,93 86 67 84,67.053,,,,,,,,,
1i7,D:min7,32.604,.,voice,r,.,,,2.0,.,95 104 95 96,93 86 67 84,65.97,,,,,,,,,
1i7,D:min7,34.749,newline,voice,cc,_,,,8.0,.,95 104 95 96,93 86 67 84,68.999,,,,,,,,,
1i7,D:min7,36.886,.,voice,r,.,,,2.0,.,95 104 95 98,93 86 67 84,66.703,,,,,,,,,
1i7,D:min7,39.023,.,voice,d,-fy,,,8.0,.,95 104 95 98,93 86 67 84,72.907,,,,,,,,,
1i7,D:min7,41.16,.,voice,r,.,,,8.0,.,95 104 95 98,93 86 67 84,67.462,,,,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,1.0,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,1.0,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,,,,,,,
1-VII7,C:7,43.297,newline,voice,r,.,,,1.0,.,95 104 95 98,93 86 67 84,71.722,,,,,,,,,
1-IIIm7,F:7,45.45,.,voice,r,.,,,4.0,.,95 114 95 98,94 86 67 84,69.278,,,,,,,,,
